user_id,recency_days,frequency_90d,monetary_avg,is_fraud,Cluster,Decision_Segment
USER_00117,73,73,33927,0,0,Suspicious
USER_00118,31,53,18416,0,1,Allowed
USER_00119,0,4,1117,0,1,Allowed
USER_00120,79,2,484,0,0,Suspicious
USER_00121,68,4,557,0,1,Allowed
USER_00122,8,8,508,0,1,Allowed
USER_00123,3,3,876,0,1,Allowed
USER_00124,19,4,650,0,1,Allowed
USER_00125,7,2,676,0,1,Allowed
USER_00126,27,8,671,0,1,Allowed
USER_00127,6,2,1144,0,1,Allowed
USER_00128,4,14,13009,0,1,Allowed
USER_00129,6,57,3052,0,1,Allowed
USER_00130,55,5,784,0,1,Allowed
USER_00131,17,9,242,0,1,Allowed
USER_00132,37,500,9155,0,2,Blocked
USER_00133,5,3,673,0,1,Allowed
USER_00134,3,2,1026,0,1,Allowed
USER_00135,12,2,819,0,1,Allowed
USER_00136,23,2,544,0,1,Allowed
USER_00137,25,1,652,0,1,Allowed
USER_00138,5,2,492,0,1,Allowed
USER_00139,16,500,79008,0,2,Blocked
USER_00140,12,6,517,0,1,Allowed
USER_00141,17,149,3423,0,1,Allowed
USER_00142,33,9,34751,0,1,Allowed
USER_00143,8,5,978,0,1,Allowed
USER_00144,180,14,1918,0,0,Suspicious
USER_00145,23,1,1053,0,1,Allowed
USER_00146,2,4,501,0,1,Allowed
USER_00147,23,3,198,0,1,Allowed
USER_00148,38,19,16848,0,1,Allowed
USER_00149,28,2,439,0,1,Allowed
USER_00150,41,7,2839,0,1,Allowed
USER_00151,1,2,459,0,1,Allowed
USER_00152,17,25,9435,0,1,Allowed
USER_00153,23,24,9424,0,1,Allowed
USER_00154,2,4,1014,0,1,Allowed
USER_00155,92,6,3781,0,0,Suspicious
USER_00156,18,3,1323,0,1,Allowed
USER_00157,1,3,961,0,1,Allowed
USER_00158,16,3,975,0,1,Allowed
USER_00159,13,5,792,0,1,Allowed
USER_00160,15,8,597,0,1,Allowed
USER_00161,20,3,641,0,1,Allowed
USER_00162,37,5,716,0,1,Allowed
USER_00163,133,20,19160,0,0,Suspicious
USER_00164,33,1,633,0,1,Allowed
USER_00165,15,9,562,0,1,Allowed
USER_00166,12,5,706,0,1,Allowed
USER_00167,20,54,1118,0,1,Allowed
USER_00168,4,3,1881,0,1,Allowed
USER_00169,30,2,572,0,1,Allowed
USER_00170,33,4,971,0,1,Allowed
USER_00171,42,2,1312,0,1,Allowed
USER_00172,9,18,4565,0,1,Allowed
USER_00173,58,3,1149,0,1,Allowed
USER_00174,10,39,23854,0,1,Allowed
USER_00175,19,12,651,0,1,Allowed
USER_00176,65,5,1022,0,1,Allowed
USER_00177,39,3,868,0,1,Allowed
USER_00178,85,8,444,0,0,Suspicious
USER_00179,2,4,650,0,1,Allowed
USER_00180,94,500,16424,0,2,Blocked
USER_00181,49,62,6999,0,1,Allowed
USER_00182,2,4,444,0,1,Allowed
USER_00183,62,5,247,0,1,Allowed
USER_00184,0,4,1222,0,1,Allowed
USER_00185,14,12,1147,0,1,Allowed
USER_00186,3,10,722,0,1,Allowed
USER_00187,4,2,941,0,1,Allowed
USER_00188,12,2,1857,0,1,Allowed
USER_00189,9,6,496,0,1,Allowed
USER_00190,40,4,593,0,1,Allowed
USER_00191,7,14,8076,0,1,Allowed
USER_00192,19,6,362,0,1,Allowed
USER_00193,121,247,98970,1,2,Blocked
USER_00194,12,1,529,0,1,Allowed
USER_00195,14,9,5486,0,1,Allowed
USER_00196,10,29,6206,0,1,Allowed
USER_00197,3,2,395,0,1,Allowed
USER_00198,20,5,1047,0,1,Allowed
USER_00199,3,1,883,0,1,Allowed
USER_00200,14,26,5362,0,1,Allowed
USER_00201,34,9,1594,0,1,Allowed
USER_00202,14,2,466,0,1,Allowed
USER_00203,143,34,967,0,0,Suspicious
USER_00204,10,2,1028,0,1,Allowed
USER_00205,4,3,679,0,1,Allowed
USER_00206,91,2,1231,0,0,Suspicious
USER_00207,39,7,509,0,1,Allowed
USER_00208,161,500,7208,0,2,Blocked
USER_00209,29,29,5242,0,1,Allowed
USER_00210,4,2,565,0,1,Allowed
USER_00211,19,5,476,0,1,Allowed
USER_00212,28,3,1773,0,1,Allowed
USER_00213,1,6,1196,0,1,Allowed
USER_00214,3,6,1354,0,1,Allowed
USER_00215,29,2,1158,0,1,Allowed
USER_00216,26,5,984,0,1,Allowed
USER_00217,2,3,391,0,1,Allowed
USER_00218,8,4,1073,0,1,Allowed
USER_00219,3,6,1190,0,1,Allowed
USER_00220,10,4,956,0,1,Allowed
USER_00221,8,59,17766,0,1,Allowed
USER_00222,15,22,3840,0,1,Allowed
USER_00223,180,30,21229,1,0,Suspicious
USER_00224,74,22,5764,0,0,Suspicious
USER_00225,4,9,1481,0,1,Allowed
USER_00226,25,3,690,0,1,Allowed
USER_00227,4,1,988,0,1,Allowed
USER_00228,2,9,1015,0,1,Allowed
USER_00229,3,44,2564,0,1,Allowed
USER_00230,53,31,6853,0,1,Allowed
USER_00231,13,5,426,0,1,Allowed
USER_00232,10,4,1198,0,1,Allowed
USER_00233,29,4,540,0,1,Allowed
USER_00234,8,3,589,0,1,Allowed
USER_00235,108,13,1483,0,0,Suspicious
USER_00236,26,40,12221,0,1,Allowed
USER_00237,12,6,966,0,1,Allowed
USER_00238,16,18,2604,0,1,Allowed
USER_00239,16,9,829,0,1,Allowed
USER_00240,18,5,987,0,1,Allowed
USER_00241,73,500,39351,0,2,Blocked
USER_00242,47,4,829,0,1,Allowed
USER_00243,0,9,476,0,1,Allowed
USER_00244,61,42,1893,0,1,Allowed
USER_00245,60,36,8306,0,1,Allowed
USER_00246,44,1,953,0,1,Allowed
USER_00247,48,9,323,0,1,Allowed
USER_00248,6,5,812,0,1,Allowed
USER_00249,14,24,5867,0,1,Allowed
USER_00250,29,8,547,0,1,Allowed
USER_00251,5,9,678,0,1,Allowed
USER_00252,22,2,1119,0,1,Allowed
USER_00253,106,29,3325,0,0,Suspicious
USER_00254,2,10,3904,0,1,Allowed
USER_00255,1,15,19518,0,1,Allowed
USER_00256,9,5,870,0,1,Allowed
USER_00257,39,1,193,0,1,Allowed
USER_00258,108,1,523,0,0,Suspicious
USER_00259,8,7,497,0,1,Allowed
USER_00260,15,2,543,0,1,Allowed
USER_00261,17,11,864,0,1,Allowed
USER_00262,3,5,929,0,1,Allowed
USER_00263,102,38,2778,0,0,Suspicious
USER_00264,9,25,17621,0,1,Allowed
USER_00265,4,7,411,0,1,Allowed
USER_00266,19,4,518,0,1,Allowed
USER_00267,34,5,442,0,1,Allowed
USER_00268,77,12,2851,0,0,Suspicious
USER_00269,26,8,1128,0,1,Allowed
USER_00270,15,3,815,0,1,Allowed
USER_00271,74,3,1975,0,0,Suspicious
USER_00272,24,2,655,0,1,Allowed
USER_00273,7,2,318,0,1,Allowed
USER_00274,180,500,275459,1,2,Blocked
USER_00275,60,2,1021,0,1,Allowed
USER_00276,12,4,571,0,1,Allowed
USER_00277,5,26,12831,0,1,Allowed
USER_00278,18,8,423,0,1,Allowed
USER_00279,69,19,1773,0,1,Allowed
USER_00280,1,5,792,0,1,Allowed
USER_00281,33,37,2704,0,1,Allowed
USER_00282,44,3,284,0,1,Allowed
USER_00283,19,50,1831,0,1,Allowed
USER_00284,6,6,330,0,1,Allowed
USER_00285,3,21,559,0,1,Allowed
USER_00286,35,9,927,0,1,Allowed
USER_00287,150,40,40747,1,0,Suspicious
USER_00288,45,17,3913,0,1,Allowed
USER_00289,8,41,6935,0,1,Allowed
USER_00290,0,12,419,0,1,Allowed
USER_00291,15,3,1028,0,1,Allowed
USER_00292,10,3,377,0,1,Allowed
USER_00293,45,10,5527,0,1,Allowed
USER_00294,30,6,804,0,1,Allowed
USER_00295,11,8,618,0,1,Allowed
USER_00296,79,89,8725,0,0,Suspicious
USER_00297,33,3,680,0,1,Allowed
USER_00298,33,3,612,0,1,Allowed
USER_00299,49,7,1269,0,1,Allowed
USER_00300,29,6,1357,0,1,Allowed
USER_00301,99,57,1538,0,0,Suspicious
USER_00302,4,4,814,0,1,Allowed
USER_00303,47,4,444,0,1,Allowed
USER_00304,20,6,667,0,1,Allowed
USER_00305,45,3,1030,0,1,Allowed
USER_00306,18,4,405,0,1,Allowed
USER_00307,13,6,812,0,1,Allowed
USER_00308,4,16,17269,0,1,Allowed
USER_00309,25,500,23998,0,2,Blocked
USER_00310,14,10,721,0,1,Allowed
USER_00311,53,292,37189,0,2,Blocked
USER_00312,66,37,2473,0,1,Allowed
USER_00313,23,2,409,0,1,Allowed
USER_00314,22,4,445,0,1,Allowed
USER_00315,16,11,20291,0,1,Allowed
USER_00316,28,3,859,0,1,Allowed
USER_00317,7,2,631,0,1,Allowed
USER_00318,30,5,296,0,1,Allowed
USER_00319,39,500,28599,0,2,Blocked
USER_00320,6,24,16901,0,1,Allowed
USER_00321,32,1,898,0,1,Allowed
USER_00322,24,48,2870,0,1,Allowed
USER_00323,13,7,841,0,1,Allowed
USER_00324,5,8,504,0,1,Allowed
USER_00325,0,16,956,0,1,Allowed
USER_00326,10,21,1363,0,1,Allowed
USER_00327,19,3,1057,0,1,Allowed
USER_00328,28,101,133149,0,2,Blocked
USER_00329,74,500,11335,0,2,Blocked
USER_00330,2,46,8102,0,1,Allowed
USER_00331,64,133,146200,0,2,Blocked
USER_00332,9,3,715,0,1,Allowed
USER_00333,1,5,878,0,1,Allowed
USER_00334,18,8,6264,0,1,Allowed
USER_00335,68,33,5323,0,1,Allowed
USER_00336,38,13,2115,0,1,Allowed
USER_00337,9,3,1155,0,1,Allowed
USER_00338,6,6,371,0,1,Allowed
USER_00339,5,6,1280,0,1,Allowed
USER_00340,12,4,374,0,1,Allowed
USER_00341,1,4,536,0,1,Allowed
USER_00342,30,7,1115,0,1,Allowed
USER_00343,53,2,564,0,1,Allowed
USER_00344,11,8,857,0,1,Allowed
USER_00345,15,4,808,0,1,Allowed
USER_00346,41,3,1901,0,1,Allowed
USER_00347,178,16,6993,0,0,Suspicious
USER_00348,15,4,605,0,1,Allowed
USER_00349,11,3,691,0,1,Allowed
USER_00350,21,4,538,0,1,Allowed
USER_00351,12,41,3657,0,1,Allowed
USER_00352,0,3,1042,0,1,Allowed
USER_00353,79,11,3214,0,0,Suspicious
USER_00354,41,2,411,0,1,Allowed
USER_00355,17,15,5268,0,1,Allowed
USER_00356,14,26,5823,0,1,Allowed
USER_00357,15,34,2249,0,1,Allowed
USER_00358,8,3,875,0,1,Allowed
USER_00359,6,5,372,0,1,Allowed
USER_00360,42,6,225,0,1,Allowed
USER_00361,10,3,1472,0,1,Allowed
USER_00362,11,50,1034,0,1,Allowed
USER_00363,36,5,976,0,1,Allowed
USER_00364,20,5,535,0,1,Allowed
USER_00365,12,4,600,0,1,Allowed
USER_00366,28,3,516,0,1,Allowed
USER_00367,52,107,48519,0,1,Allowed
USER_00368,33,4,946,0,1,Allowed
USER_00369,65,104,5258,0,0,Suspicious
USER_00370,31,2,390,0,1,Allowed
USER_00371,85,114,1591,0,0,Suspicious
USER_00372,17,3,501,0,1,Allowed
USER_00373,31,12,869,0,1,Allowed
USER_00374,32,28,5784,0,1,Allowed
USER_00375,5,6,417,0,1,Allowed
USER_00376,10,11,302,0,1,Allowed
USER_00377,139,25,6876,0,0,Suspicious
USER_00378,79,500,30917,0,2,Blocked
USER_00379,76,500,162976,1,2,Blocked
USER_00380,4,4,502,0,1,Allowed
USER_00381,32,17,3195,0,1,Allowed
USER_00382,29,5,141,0,1,Allowed
USER_00383,4,15,3103,0,1,Allowed
USER_00384,136,89,4577,0,0,Suspicious
USER_00385,0,4,638,0,1,Allowed
USER_00386,11,7,212,0,1,Allowed
USER_00387,17,69,17825,0,1,Allowed
USER_00388,136,20,3161,0,0,Suspicious
USER_00389,25,6,546,0,1,Allowed
USER_00390,2,4,183,0,1,Allowed
USER_00391,180,406,64539,1,2,Blocked
USER_00392,21,3,1698,0,1,Allowed
USER_00393,8,7,309,0,1,Allowed
USER_00394,41,21,7633,0,1,Allowed
USER_00395,17,19,7970,0,1,Allowed
USER_00396,8,38,10885,0,1,Allowed
USER_00397,8,500,32635,0,2,Blocked
USER_00398,54,2,1043,0,1,Allowed
USER_00399,42,3,276,0,1,Allowed
USER_00400,7,95,31559,0,1,Allowed
USER_00401,68,11,967,0,1,Allowed
USER_00402,8,3,514,0,1,Allowed
USER_00403,22,6,1479,0,1,Allowed
USER_00404,48,5,1506,0,1,Allowed
USER_00405,180,328,26497,1,2,Blocked
USER_00406,13,9,519,0,1,Allowed
USER_00407,1,11,5674,0,1,Allowed
USER_00408,56,500,32573,0,2,Blocked
USER_00409,5,3,1770,0,1,Allowed
USER_00410,11,3,2104,0,1,Allowed
USER_00411,16,5,438,0,1,Allowed
USER_00412,108,62,1076,0,0,Suspicious
USER_00413,29,140,5869,0,1,Allowed
USER_00414,9,5,343,0,1,Allowed
USER_00415,9,4,783,0,1,Allowed
USER_00416,12,4,841,0,1,Allowed
USER_00417,31,2,602,0,1,Allowed
USER_00418,180,500,15282,0,2,Blocked
USER_00419,41,2,553,0,1,Allowed
USER_00420,0,9,588,0,1,Allowed
USER_00421,1,9,310,0,1,Allowed
USER_00422,61,5,26934,0,1,Allowed
USER_00423,73,10,3198,0,0,Suspicious
USER_00424,29,3,862,0,1,Allowed
USER_00425,5,3,754,0,1,Allowed
USER_00426,0,2,760,0,1,Allowed
USER_00427,20,4,408,0,1,Allowed
USER_00428,23,4,1037,0,1,Allowed
USER_00429,20,4,336,0,1,Allowed
USER_00430,46,216,9668,0,1,Allowed
USER_00431,61,3,1257,0,1,Allowed
USER_00432,0,5,2186,0,1,Allowed
USER_00433,16,4,433,0,1,Allowed
USER_00434,24,6,322,0,1,Allowed
USER_00435,22,3,647,0,1,Allowed
USER_00436,6,10,754,0,1,Allowed
USER_00437,37,66,4590,0,1,Allowed
USER_00438,1,1,1076,0,1,Allowed
USER_00439,15,4,572,0,1,Allowed
USER_00440,61,13,1347,0,1,Allowed
USER_00441,30,3,661,0,1,Allowed
USER_00442,30,28,2921,0,1,Allowed
USER_00443,180,107,1916,0,0,Suspicious
USER_00444,19,5,548,0,1,Allowed
USER_00445,6,3,259,0,1,Allowed
USER_00446,19,4,600,0,1,Allowed
USER_00447,108,6,830,0,0,Suspicious
USER_00448,6,7,595,0,1,Allowed
USER_00449,37,19,4328,0,1,Allowed
USER_00450,180,63,27382,1,0,Suspicious
USER_00451,0,28,9092,0,1,Allowed
USER_00452,94,23,2255,0,0,Suspicious
USER_00453,9,4,856,0,1,Allowed
USER_00454,0,8,536,0,1,Allowed
USER_00455,3,2,385,0,1,Allowed
USER_00456,19,3,625,0,1,Allowed
USER_00457,7,2,856,0,1,Allowed
USER_00458,20,2,628,0,1,Allowed
USER_00459,3,7,837,0,1,Allowed
USER_00460,8,3,524,0,1,Allowed
USER_00461,13,14,696,0,1,Allowed
USER_00462,29,3,674,0,1,Allowed
USER_00463,18,4,520,0,1,Allowed
USER_00464,3,3,520,0,1,Allowed
USER_00465,62,68,3381,0,1,Allowed
USER_00466,24,12,1809,0,1,Allowed
USER_00467,67,7,3343,0,1,Allowed
USER_00468,15,5,718,0,1,Allowed
USER_00469,57,4,667,0,1,Allowed
USER_00470,166,237,69740,1,2,Blocked
USER_00471,3,2,212,0,1,Allowed
USER_00472,61,3,443,0,1,Allowed
USER_00473,98,500,24840,0,2,Blocked
USER_00474,1,4,617,0,1,Allowed
USER_00475,18,6,521,0,1,Allowed
USER_00476,14,4,732,0,1,Allowed
USER_00477,15,5,1519,0,1,Allowed
USER_00478,31,4,871,0,1,Allowed
USER_00479,14,106,9142,0,1,Allowed
USER_00480,3,1,313,0,1,Allowed
USER_00481,115,76,4061,0,0,Suspicious
USER_00482,26,26,33294,0,1,Allowed
USER_00483,19,8,583,0,1,Allowed
USER_00484,8,2,1046,0,1,Allowed
USER_00485,4,2,1029,0,1,Allowed
USER_00486,79,5,593,0,0,Suspicious
USER_00487,36,30,5548,0,1,Allowed
USER_00488,69,46,2231,0,1,Allowed
USER_00489,24,6,349,0,1,Allowed
USER_00490,102,17,1843,0,0,Suspicious
USER_00491,128,196,2606,0,0,Suspicious
USER_00492,17,4,547,0,1,Allowed
USER_00493,1,2,354,0,1,Allowed
USER_00494,89,45,287925,1,2,Blocked
USER_00495,25,4,737,0,1,Allowed
USER_00496,73,32,13161,0,0,Suspicious
USER_00497,9,4,674,0,1,Allowed
USER_00498,19,4,1176,0,1,Allowed
USER_00499,70,47,19797,0,0,Suspicious
USER_00500,41,2,742,0,1,Allowed
USER_00501,2,10,645,0,1,Allowed
USER_00502,0,3,385,0,1,Allowed
USER_00503,129,500,23914,1,2,Blocked
USER_00504,16,5,657,0,1,Allowed
USER_00505,40,3,387,0,1,Allowed
USER_00506,5,3,923,0,1,Allowed
USER_00507,6,4,677,0,1,Allowed
USER_00508,3,5,1527,0,1,Allowed
USER_00509,10,2,746,0,1,Allowed
USER_00510,33,6,1547,0,1,Allowed
USER_00511,52,2,1093,0,1,Allowed
USER_00512,5,7,330,0,1,Allowed
USER_00513,34,500,16721,0,2,Blocked
USER_00514,180,340,10948,0,2,Blocked
USER_00515,31,2,491,0,1,Allowed
USER_00516,7,6,706,0,1,Allowed
USER_00517,35,3,598,0,1,Allowed
USER_00518,8,4,330,0,1,Allowed
USER_00519,2,4,1034,0,1,Allowed
USER_00520,58,8,1312,0,1,Allowed
USER_00521,180,177,108619,1,2,Blocked
USER_00522,15,2,400,0,1,Allowed
USER_00523,32,25,6750,0,1,Allowed
USER_00524,13,2,1532,0,1,Allowed
USER_00525,69,38,9045,0,1,Allowed
USER_00526,83,50,2693,0,0,Suspicious
USER_00527,7,3,862,0,1,Allowed
USER_00528,1,1,539,0,1,Allowed
USER_00529,75,35,4306,0,0,Suspicious
USER_00530,7,2,1657,0,1,Allowed
USER_00531,1,3,897,0,1,Allowed
USER_00532,9,9,505,0,1,Allowed
USER_00533,55,239,103342,0,2,Blocked
USER_00534,23,9,1351,0,1,Allowed
USER_00535,13,4,733,0,1,Allowed
USER_00536,20,79,3063,0,1,Allowed
USER_00537,9,4,1415,0,1,Allowed
USER_00538,3,4,345,0,1,Allowed
USER_00539,14,55,4590,0,1,Allowed
USER_00540,10,70,3541,0,1,Allowed
USER_00541,1,6,602,0,1,Allowed
USER_00542,66,4,485,0,1,Allowed
USER_00543,68,6,384,0,1,Allowed
USER_00544,1,4,2289,0,1,Allowed
USER_00545,122,52,1921,0,0,Suspicious
USER_00546,28,5,322,0,1,Allowed
USER_00547,152,183,6630,0,0,Suspicious
USER_00548,22,5,377,0,1,Allowed
USER_00549,36,5,834,0,1,Allowed
USER_00550,31,2,2528,0,1,Allowed
USER_00551,1,4,675,0,1,Allowed
USER_00552,7,240,54546,1,2,Blocked
USER_00553,5,4,485,0,1,Allowed
USER_00554,5,9,314,0,1,Allowed
USER_00555,4,2,841,0,1,Allowed
USER_00556,13,4,1261,0,1,Allowed
USER_00557,11,3,2299,0,1,Allowed
USER_00558,10,2,522,0,1,Allowed
USER_00559,62,3,902,0,1,Allowed
USER_00560,63,500,97912,0,2,Blocked
USER_00561,86,6,561,0,0,Suspicious
USER_00562,2,1,931,0,1,Allowed
USER_00563,43,5,8083,0,1,Allowed
USER_00564,15,65,6864,0,1,Allowed
USER_00565,3,6,827,0,1,Allowed
USER_00566,5,8,576,0,1,Allowed
USER_00567,24,4,727,0,1,Allowed
USER_00568,19,47,1167,0,1,Allowed
USER_00569,180,35,2047,0,0,Suspicious
USER_00570,7,4,157,0,1,Allowed
USER_00571,21,72,4949,0,1,Allowed
USER_00572,9,1,799,0,1,Allowed
USER_00573,4,2,571,0,1,Allowed
USER_00574,24,4,483,0,1,Allowed
USER_00575,19,4,1056,0,1,Allowed
USER_00576,10,214,2515,0,1,Allowed
USER_00577,20,3,1493,0,1,Allowed
USER_00578,23,5,705,0,1,Allowed
USER_00579,48,5,1117,0,1,Allowed
USER_00580,43,8,911,0,1,Allowed
USER_00581,22,3,1261,0,1,Allowed
USER_00582,8,4,724,0,1,Allowed
USER_00583,32,2,891,0,1,Allowed
USER_00584,35,247,93688,1,2,Blocked
USER_00585,10,34,5798,0,1,Allowed
USER_00586,8,1,629,0,1,Allowed
USER_00587,8,4,888,0,1,Allowed
USER_00588,12,18,19457,0,1,Allowed
USER_00589,180,104,142604,1,2,Blocked
USER_00590,11,1,902,0,1,Allowed
USER_00591,76,56,5026,0,0,Suspicious
USER_00592,14,2,679,0,1,Allowed
USER_00593,134,72,66780,1,0,Suspicious
USER_00594,4,6,969,0,1,Allowed
USER_00595,56,5,577,0,1,Allowed
USER_00596,90,52,1298,0,0,Suspicious
USER_00597,41,5,386,0,1,Allowed
USER_00598,12,2,421,0,1,Allowed
USER_00599,32,7,338,0,1,Allowed
USER_00600,8,2,414,0,1,Allowed
USER_00601,36,9,910,0,1,Allowed
USER_00602,58,105,8819,0,1,Allowed
USER_00603,13,16,270,0,1,Allowed
USER_00604,55,3,283,0,1,Allowed
USER_00605,22,89,76167,1,1,Allowed
USER_00606,31,6,1075,0,1,Allowed
USER_00607,11,3,631,0,1,Allowed
USER_00608,6,3,982,0,1,Allowed
USER_00609,3,4,1481,0,1,Allowed
USER_00610,77,392,41372,0,2,Blocked
USER_00611,137,38,1076,0,0,Suspicious
USER_00612,0,2,741,0,1,Allowed
USER_00613,26,3,550,0,1,Allowed
USER_00614,13,3,452,0,1,Allowed
USER_00615,28,2,365,0,1,Allowed
USER_00616,16,6,1874,0,1,Allowed
USER_00617,3,3,479,0,1,Allowed
USER_00618,11,244,20535,0,1,Allowed
USER_00619,8,23,751,0,1,Allowed
USER_00620,36,25,11867,0,1,Allowed
USER_00621,52,2,603,0,1,Allowed
USER_00622,137,16,11273,0,0,Suspicious
USER_00623,39,32,3253,0,1,Allowed
USER_00624,4,19,1830,0,1,Allowed
USER_00625,3,2,964,0,1,Allowed
USER_00626,141,11,3204,0,0,Suspicious
USER_00627,9,3,274,0,1,Allowed
USER_00628,8,3,1069,0,1,Allowed
USER_00629,15,2,756,0,1,Allowed
USER_00630,89,37,4883,0,0,Suspicious
USER_00631,21,40,15744,0,1,Allowed
USER_00632,14,5,607,0,1,Allowed
USER_00633,61,46,950,0,1,Allowed
USER_00634,3,3,831,0,1,Allowed
USER_00635,26,4,489,0,1,Allowed
USER_00636,21,4,557,0,1,Allowed
USER_00637,29,7,1161,0,1,Allowed
USER_00638,109,54,7715,0,0,Suspicious
USER_00639,8,3,719,0,1,Allowed
USER_00640,7,4,980,0,1,Allowed
USER_00641,28,7,1476,0,1,Allowed
USER_00642,10,3,428,0,1,Allowed
USER_00643,5,4,808,0,1,Allowed
USER_00644,22,5,829,0,1,Allowed
USER_00645,16,3,468,0,1,Allowed
